"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PURCHASE-URL";"VALUE";
"C29";"2.2uF";"C1608X7S1C225K080AE";"CAPC1608X80N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 16VDC 2.2uF 10% X7S";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 16VDC 2.2uF 10% X7S";"";"0.8mm";"TDK";"C1608X7S1C225K080AE";"";"810-C1608X7S1C225K08";"https://www.mouser.co.uk/ProductDetail/TDK/C1608X7S1C225K080AE/?qs=zW32dvEIR3tqedNHz865EA%3D%3D";"";"";"";"2.2uF";
"C30";"0.1uF";"C0805C104K5RAC7411";"CAPC2012X88N";"Cap Ceramic 0.1uF 50V X7R 10% Pad SMD 0805 125C T/R";"";"";"Cap Ceramic 0.1uF 50V X7R 10% Pad SMD 0805 125C T/R";"";"0.88mm";"Kemet";"C0805C104K5RAC7411";"";"80-C0805C104K5RACLR";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805C104K5RAC7411/?qs=jbRM9o5BbzPcVXF0wW9AYg%3D%3D";"";"";"";"0.1uF";
"C31";"1uF";"C0805X105K8RAC7210";"CAPC2012X100N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 1uF X7R 0805 10% Flex";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 1uF X7R 0805 10% Flex";"";"1mm";"Kemet";"C0805X105K8RAC7210";"";"80-C0805X105K8RACLR";"https://www.mouser.co.uk/ProductDetail/KEMET/C0805X105K8RAC7210?qs=ds50AKTGxA8Ac4j4qbsB5A%3D%3D";"";"";"";"";
"D1";"CPDQ5V0-HF";"CPDQ5V0-HF";"SODFL1006X40N";"ESD Suppressors / TVS Diodes SMD ESD Diode 5V Bi-Direction";"";"";"ESD Suppressors / TVS Diodes SMD ESD Diode 5V Bi-Direction";"";"0.4mm";"Comchip Technology";"CPDQ5V0-HF";"";"750-CPDQ5V0-HF";"https://www.mouser.co.uk/ProductDetail/Comchip-Technology/CPDQ5V0-HF/?qs=ccyN4P6STah119k8k5VB0Q%3D%3D";"";"";"";"";
"D2";"CPDQ5V0-HF";"CPDQ5V0-HF";"SODFL1006X40N";"ESD Suppressors / TVS Diodes SMD ESD Diode 5V Bi-Direction";"";"";"ESD Suppressors / TVS Diodes SMD ESD Diode 5V Bi-Direction";"";"0.4mm";"Comchip Technology";"CPDQ5V0-HF";"";"750-CPDQ5V0-HF";"https://www.mouser.co.uk/ProductDetail/Comchip-Technology/CPDQ5V0-HF/?qs=ccyN4P6STah119k8k5VB0Q%3D%3D";"";"";"";"";
"D3";"CPDQ5V0-HF";"CPDQ5V0-HF";"SODFL1006X40N";"ESD Suppressors / TVS Diodes SMD ESD Diode 5V Bi-Direction";"";"";"ESD Suppressors / TVS Diodes SMD ESD Diode 5V Bi-Direction";"";"0.4mm";"Comchip Technology";"CPDQ5V0-HF";"";"750-CPDQ5V0-HF";"https://www.mouser.co.uk/ProductDetail/Comchip-Technology/CPDQ5V0-HF/?qs=ccyN4P6STah119k8k5VB0Q%3D%3D";"";"";"";"";
"D4";"BAT760-7";"BAT760-7";"SOD2513X120N";"Diode Schottky 30V 1A 2Pin SOD323 Diodes Inc BAT760-7, SMT Schottky Diode, 30V 1A, 2-Pin SOD-323";"";"";"Diode Schottky 30V 1A 2Pin SOD323 Diodes Inc BAT760-7, SMT Schottky Diode, 30V 1A, 2-Pin SOD-323";"";"1.2mm";"Diodes Inc.";"BAT760-7";"";"621-BAT760-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BAT760-7?qs=JV7lzlMm3yKDDyO09xoRbQ%3D%3D";"";"";"";"";
"D5";"SS34";"SS34";"DIOM8059X256N";"ON Semi SS34 SMT Schottky Diode, 40V 3A, 2-Pin DO-214AB";"";"";"ON Semi SS34 SMT Schottky Diode, 40V 3A, 2-Pin DO-214AB";"";"2.56mm";"ON Semiconductor";"SS34";"";"512-SS34";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/SS34?qs=2ONuHmP%2FXzb3ub11UdFfdQ%3D%3D";"";"";"";"";
"D9";"BAT54S";"BAT54S";"SOT95P240X110-3N";"Schottky Diodes & Rectifiers SOT23 0.2A 30V Schot tky Dblr";"";"";"Schottky Diodes & Rectifiers SOT23 0.2A 30V Schot tky Dblr";"";"1.1mm";"Rectron";"BAT54S";"";"583-BAT54S";"https://www.mouser.co.uk/ProductDetail/Rectron/BAT54S/?qs=7pEAo90IqNGRiqD7TkybWA%3D%3D";"";"";"";"";
"D10";"BAT54S";"BAT54S";"SOT95P240X110-3N";"Schottky Diodes & Rectifiers SOT23 0.2A 30V Schot tky Dblr";"";"";"Schottky Diodes & Rectifiers SOT23 0.2A 30V Schot tky Dblr";"";"1.1mm";"Rectron";"BAT54S";"";"583-BAT54S";"https://www.mouser.co.uk/ProductDetail/Rectron/BAT54S/?qs=7pEAo90IqNGRiqD7TkybWA%3D%3D";"";"";"";"";
