"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PURCHASE-URL";"VALUE";
"L1";"470nH";"LPS3010-471MRC";"LPS3010471MRC";"Fixed Inductors 470nH Shld 1.8A 70 mOhms AECQ2";"";"";"Fixed Inductors 470nH Shld 1.8A 70 mOhms AECQ2";"";"1mm";"COILCRAFT";"LPS3010-471MRC";"";"";"";"";"";"";"";
"L2";"470nH";"LPS3010-471MRC";"LPS3010471MRC";"Fixed Inductors 470nH Shld 1.8A 70 mOhms AECQ2";"";"";"Fixed Inductors 470nH Shld 1.8A 70 mOhms AECQ2";"";"1mm";"COILCRAFT";"LPS3010-471MRC";"";"";"";"";"";"";"";
"L3";"470nH";"LPS3010-471MRC";"LPS3010471MRC";"Fixed Inductors 470nH Shld 1.8A 70 mOhms AECQ2";"";"";"Fixed Inductors 470nH Shld 1.8A 70 mOhms AECQ2";"";"1mm";"COILCRAFT";"LPS3010-471MRC";"";"";"";"";"";"";"";
"L4";"470nH";"LPS3010-471MRC";"LPS3010471MRC";"Fixed Inductors 470nH Shld 1.8A 70 mOhms AECQ2";"";"";"Fixed Inductors 470nH Shld 1.8A 70 mOhms AECQ2";"";"1mm";"COILCRAFT";"LPS3010-471MRC";"";"";"";"";"";"";"";
"LED1";"150141RV73100";"150141RV73100";"SMD3528_1";"LED,Wurth Elektronik,150141RV73100 Wurth Elektronik 150141RV73100, WL-SBTW Series Bi-colour Green, Red LED, 572 / 625 nm 4-Pin 3528 (1411), Round Lens";"";"";"LED,Wurth Elektronik,150141RV73100 Wurth Elektronik 150141RV73100, WL-SBTW Series Bi-colour Green, Red LED, 572 / 625 nm 4-Pin 3528 (1411), Round Lens";"";"mm";"Wurth Elektronik";"150141RV73100";"";"710-150141RV73100";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150141RV73100?qs=LlUlMxKIyB1w9QlMugtMLA%3D%3D";"";"";"";"";
"LED2";"LTST-C193KRKT-5A";"LTST-C193KRKT-5A";"LEDC1608X45N";"Lite-On LTST-C193KRKT-5A, 631 nm Red LED, 1608 (0603) SMD package";"";"";"Lite-On LTST-C193KRKT-5A, 631 nm Red LED, 1608 (0603) SMD package";"";"0.45mm";"Lite-On";"LTST-C193KRKT-5A";"";"859-LTSTC193KRKT5A";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTST-C193KRKT-5A/?qs=xIkB7y1OTor17kZSHyF5tQ%3D%3D";"";"";"";"";
"Q1";"SS8050-G";"SS8050-G";"SOT95P240X115-3N";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"";"";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"";"1.15mm";"Comchip Technology";"SS8050-G";"";"750-SS8050-G";"https://www.mouser.co.uk/ProductDetail/Comchip-Technology/SS8050-G/?qs=LLUE9lz1YbcHg%252BWLMAtcrQ%3D%3D";"";"";"";"";
"Q2";"SS8050-G";"SS8050-G";"SOT95P240X115-3N";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"";"";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"";"1.15mm";"Comchip Technology";"SS8050-G";"";"750-SS8050-G";"https://www.mouser.co.uk/ProductDetail/Comchip-Technology/SS8050-G/?qs=LLUE9lz1YbcHg%252BWLMAtcrQ%3D%3D";"";"";"";"";
"Q3";"BSH205G2R";"BSH205G2R";"SOT95P230X110-3N";"MOSFET 20V P-channel Trench MOSFET";"";"";"MOSFET 20V P-channel Trench MOSFET";"";"1.1mm";"Nexperia";"BSH205G2R";"";"771-BSH205G2R";"https://www.mouser.co.uk/ProductDetail/Nexperia/BSH205G2R?qs=%252BRKXB2WKlScNIfK4SlBmFA%3D%3D";"";"";"";"";
"Q4";"KSC1815YTA";"KSC1815YTA";"BC33740TA";"Transistor, Fairchild, KSC1815YTA";"";"";"Transistor, Fairchild, KSC1815YTA";"";"mm";"ON Semiconductor";"KSC1815YTA";"";"512-KSC1815YTA";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/KSC1815YTA?qs=ljbEvF4DwOP9FJQWOCoFLQ%3D%3D";"";"";"";"";
"R1";"0 Ohm";"CR0603AJ_-000ELF";"RESC1608X55N";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"0.55mm";"Bourns";"CR0603AJ/-000ELF";"";"652-CR0603AJ/-000ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0603AJ-000ELF/?qs=GedFDFLaBXF8EepoWODZMQ%3D%3D";"";"";"";"0 Ohm";
"R2";"0 Ohm";"CR0603AJ_-000ELF";"RESC1608X55N";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"0.55mm";"Bourns";"CR0603AJ/-000ELF";"";"652-CR0603AJ/-000ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0603AJ-000ELF/?qs=GedFDFLaBXF8EepoWODZMQ%3D%3D";"";"";"";"0 Ohm";
"R3";"10k";"HV73V1JTTD103J";"CAPC1608X55N";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"0.55mm";"KOA Speer";"HV73V1JTTD103J";"";"660-HV73V1JTTD103J";"https://www.mouser.co.uk/ProductDetail/KOA-Speer/HV73V1JTTD103J?qs=xZ%2FP%252Ba9zWqbXuiWLWua7%2Fw%3D%3D";"";"";"";"10k";
"R4";"10k";"HV73V1JTTD103J";"CAPC1608X55N";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"0.55mm";"KOA Speer";"HV73V1JTTD103J";"";"660-HV73V1JTTD103J";"https://www.mouser.co.uk/ProductDetail/KOA-Speer/HV73V1JTTD103J?qs=xZ%2FP%252Ba9zWqbXuiWLWua7%2Fw%3D%3D";"";"";"";"10k";
"R5";"10k";"HV73V1JTTD103J";"CAPC1608X55N";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"0.55mm";"KOA Speer";"HV73V1JTTD103J";"";"660-HV73V1JTTD103J";"https://www.mouser.co.uk/ProductDetail/KOA-Speer/HV73V1JTTD103J?qs=xZ%2FP%252Ba9zWqbXuiWLWua7%2Fw%3D%3D";"";"";"";"10k";
"R6";"10k";"HV73V1JTTD103J";"CAPC1608X55N";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"0.55mm";"KOA Speer";"HV73V1JTTD103J";"";"660-HV73V1JTTD103J";"https://www.mouser.co.uk/ProductDetail/KOA-Speer/HV73V1JTTD103J?qs=xZ%2FP%252Ba9zWqbXuiWLWua7%2Fw%3D%3D";"";"";"";"10k";
"R7";"2k";"ERJ-UP3F2001V";"RESC1608X55N";"Anti-Sulfurated Thick Film Chip Resistors / Anti-Surge Type";"";"";"Anti-Sulfurated Thick Film Chip Resistors / Anti-Surge Type";"";"0.55mm";"Panasonic";"ERJ-UP3F2001V";"";"";"";"";"";"";"2k";
"R8";"47.5K";"ERJ-UP3F4752V";"RESC1608X55N";"Thick Film Resistors - SMD AEC-Q200";"";"";"Thick Film Resistors - SMD AEC-Q200";"";"0.55mm";"Panasonic";"ERJ-UP3F4752V";"";"667-ERJ-UP3F4752V";"https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-UP3F4752V?qs=GedFDFLaBXGUd1E4zR%252BF8g%3D%3D";"";"";"";"47.5K";
"R9";"2k";"ERJ-UP3F2001V";"RESC1608X55N";"Anti-Sulfurated Thick Film Chip Resistors / Anti-Surge Type";"";"";"Anti-Sulfurated Thick Film Chip Resistors / Anti-Surge Type";"";"0.55mm";"Panasonic";"ERJ-UP3F2001V";"";"";"";"";"";"";"2k";
"R10";"22.1K";"ERJ-2RHD2212X";"RESC1005X40N";"Thick Film Resistors - SMD 0402 Resistor 0.5% 50ppm 22.1KOhm";"";"";"Thick Film Resistors - SMD 0402 Resistor 0.5% 50ppm 22.1KOhm";"";"0.4mm";"Panasonic";"ERJ-2RHD2212X";"";"667-ERJ-2RHD2212X";"https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-2RHD2212X?qs=pfd5qewlna6lhy494ElLrw%3D%3D";"";"";"";"22.1K";
"R11";"100k";"RCG0603100KJNEA";"RESC1608X50N";"RCG0603100KJNEA";"";"";"RCG0603100KJNEA";"";"0.5mm";"Vishay";"RCG0603100KJNEA";"";"71-RCG0603100KJNEA";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-RCG0603100KJNEA";"";"";"";"100k";
"R12";"100k";"RCG0603100KJNEA";"RESC1608X50N";"RCG0603100KJNEA";"";"";"RCG0603100KJNEA";"";"0.5mm";"Vishay";"RCG0603100KJNEA";"";"71-RCG0603100KJNEA";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-RCG0603100KJNEA";"";"";"";"100k";
"R13";"65ohm";"Y402265R0000A9W";"RESC2012X64N";"";"";"";" 65 Ohms ±0.05% 0.2W, 1/5W Chip Resistor 0805 (2012 Metric) Moisture Resistant, Non-Inductive Metal Foil ";"Y402265R0000A9W-ND";"";"";"";"Vishay";"";"";"Y402265R0000A9W";"2012 Vishay";"";"";
"R14";"65ohm";"Y402265R0000A9W";"RESC2012X64N";"";"";"";" 65 Ohms ±0.05% 0.2W, 1/5W Chip Resistor 0805 (2012 Metric) Moisture Resistant, Non-Inductive Metal Foil ";"Y402265R0000A9W-ND";"";"";"";"Vishay";"";"";"Y402265R0000A9W";"2012 Vishay";"";"";
"R15";"10k";"HV73V1JTTD103J";"CAPC1608X55N";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"0.55mm";"KOA Speer";"HV73V1JTTD103J";"";"660-HV73V1JTTD103J";"https://www.mouser.co.uk/ProductDetail/KOA-Speer/HV73V1JTTD103J?qs=xZ%2FP%252Ba9zWqbXuiWLWua7%2Fw%3D%3D";"";"";"";"10k";
"R16";"10k";"HV73V1JTTD103J";"CAPC1608X55N";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"";"Thick Film Resistors - SMD 10000Ohms 5% 0603 TCR=100 AEC-Q200";"";"0.55mm";"KOA Speer";"HV73V1JTTD103J";"";"660-HV73V1JTTD103J";"https://www.mouser.co.uk/ProductDetail/KOA-Speer/HV73V1JTTD103J?qs=xZ%2FP%252Ba9zWqbXuiWLWua7%2Fw%3D%3D";"";"";"";"10k";
"R17";"0 Ohm";"CR0603AJ_-000ELF";"RESC1608X55N";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"0.55mm";"Bourns";"CR0603AJ/-000ELF";"";"652-CR0603AJ/-000ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0603AJ-000ELF/?qs=GedFDFLaBXF8EepoWODZMQ%3D%3D";"";"";"";"0 Ohm";
"R18";"0 Ohm";"CR0603AJ_-000ELF";"RESC1608X55N";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"0.55mm";"Bourns";"CR0603AJ/-000ELF";"";"652-CR0603AJ/-000ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0603AJ-000ELF/?qs=GedFDFLaBXF8EepoWODZMQ%3D%3D";"";"";"";"0 Ohm";
"R19";"15k";"CRCW080515K0FKEBC";"RESC2012X60N";"Thick Film Resistors - SMD 1/8Watt 15Kohms 1% Commercial Use";"";"";"Thick Film Resistors - SMD 1/8Watt 15Kohms 1% Commercial Use";"";"0.6mm";"Vishay";"CRCW080515K0FKEBC";"";"71-CRCW080515K0FKEBC";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW080515K0FKEBC?qs=wd5RIQLrsJhoqkW23VWcpg%3D%3D";"";"";"";"15k";
"R20";"576";"CRCW0805576RFKEA";"RESC2012X50N";"RES, THICK FILM, 576R, 1%, 0.125W, 0805";"";"";" 576 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film ";"541-576CCT-ND";"";"";"";"Vishay";"";"";"CRCW0805576RFKEA";"2012 Vishay";"https://pricing.snapeda.com/search/part/CRCW0805576RFKEA/?ref=eda";"576";
"R24";"0 Ohm";"CR0603AJ_-000ELF";"RESC1608X55N";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"0.55mm";"Bourns";"CR0603AJ/-000ELF";"";"652-CR0603AJ/-000ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0603AJ-000ELF/?qs=GedFDFLaBXF8EepoWODZMQ%3D%3D";"";"";"";"0 Ohm";
"R25";"0 Ohm";"CR0603AJ_-000ELF";"RESC1608X55N";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"0.55mm";"Bourns";"CR0603AJ/-000ELF";"";"652-CR0603AJ/-000ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0603AJ-000ELF/?qs=GedFDFLaBXF8EepoWODZMQ%3D%3D";"";"";"";"0 Ohm";
"R26";"0 Ohm";"CR0603AJ_-000ELF";"RESC1608X55N";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"0.55mm";"Bourns";"CR0603AJ/-000ELF";"";"652-CR0603AJ/-000ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0603AJ-000ELF/?qs=GedFDFLaBXF8EepoWODZMQ%3D%3D";"";"";"";"0 Ohm";
"R27";"0 Ohm";"CR0603AJ_-000ELF";"RESC1608X55N";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"";"Thick Film Resistors - SMD ResA 0603 0R Jumper 100mW AEC-Q200";"";"0.55mm";"Bourns";"CR0603AJ/-000ELF";"";"652-CR0603AJ/-000ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0603AJ-000ELF/?qs=GedFDFLaBXF8EepoWODZMQ%3D%3D";"";"";"";"0 Ohm";
"S1";"1571294-3";"1571294-3";"15712943";"SWITCH,TACT,SMT,SEALED";"";"";"SWITCH,TACT,SMT,SEALED";"";"5.5mm";"TE Connectivity";"1571294-3";"";"506-1571294-3";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1571294-3/?qs=bkeGI61iuy0TyJA2A0%2FQXg%3D%3D";"";"";"";"";
"S2";"1571294-3";"1571294-3";"15712943";"SWITCH,TACT,SMT,SEALED";"";"";"SWITCH,TACT,SMT,SEALED";"";"5.5mm";"TE Connectivity";"1571294-3";"";"506-1571294-3";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1571294-3/?qs=bkeGI61iuy0TyJA2A0%2FQXg%3D%3D";"";"";"";"";
"S3";"AS11CH";"AS11CH";"AS11CH";"Switch Slide ON None OFF SPST Side Slide 0.1A 28VAC 28VDC 0.4VA 50000Cycles PC Pins Bracket Mount/Through Hole";"";"";"Switch Slide ON None OFF SPST Side Slide 0.1A 28VAC 28VDC 0.4VA 50000Cycles PC Pins Bracket Mount/Through Hole";"";"6.18mm";"NKK Switches";"AS11CH";"";"633-AS11CH";"https://www.mouser.co.uk/ProductDetail/NKK-Switches/AS11CH?qs=MODAV37v1mC%2FcDng1K%2FMsg%3D%3D";"";"";"";"";
"Y1";"ABM3B-8.000MHZ-10-1-U-T";"ABM3B-8.000MHZ-10-1-U-T";"ABM3B";"Abracon 8MHz Crystal +/-10ppm 4-SMD, No Lead 5 x 3 x 1.1mm";"";"";"Abracon 8MHz Crystal +/-10ppm 4-SMD, No Lead 5 x 3 x 1.1mm";"";"mm";"ABRACON";"ABM3B-8.000MHZ-10-1-U-T";"";"815-ABM3B8MHZ101UT";"https://www.mouser.co.uk/ProductDetail/ABRACON/ABM3B-8000MHZ-10-1-U-T?qs=axzvp2Rdp5%252B1td01iPkwcw%3D%3D";"";"";"";"";
